measurement_id	cctld	nameserver	target	query_argument	nsid_raw	count	classification_status	city	country_code	region_class	classification_confidence	classification_method	matched_rule_priority	matched_rule_pattern	classification_note
173811467	.de	z.nic.de	194.246.96.1	de.	ns-1.de.cn1.bind	2	classified		CN	Other non EU	high	regex	60	^ns-[0-9]+\.de\.cn[0-9]+\.	DENIC country code in NSID
173811467	.de	z.nic.de	194.246.96.1	de.	ns-1.de.de2.knot	31	classified		DE	EU	high	regex	60	^ns-[0-9]+\.de\.de[0-9]+\.	DENIC country code in NSID
173811467	.de	z.nic.de	194.246.96.1	de.	ns-2.de.cn1.bind	1	classified		CN	Other non EU	high	regex	60	^ns-[0-9]+\.de\.cn[0-9]+\.	DENIC country code in NSID
173811467	.de	z.nic.de	194.246.96.1	de.	ns-2.de.de2.knot	30	classified		DE	EU	high	regex	60	^ns-[0-9]+\.de\.de[0-9]+\.	DENIC country code in NSID
173811467	.de	z.nic.de	194.246.96.1	de.	ns.de.ae1.bind	2	classified		AE	Other non EU	high	regex	60	^ns\.de\.ae[0-9]+\.	DENIC country code in NSID
173811467	.de	z.nic.de	194.246.96.1	de.	ns.de.fr2.bind	6	classified		FR	EU	high	regex	60	^ns\.de\.fr[0-9]+\.	DENIC country code in NSID
173811467	.de	z.nic.de	194.246.96.1	de.	ns.de.in1.bind	1	classified		IN	Other non EU	high	regex	60	^ns\.de\.in[0-9]+\.	DENIC country code in NSID
173811467	.de	z.nic.de	194.246.96.1	de.	ns.de.pl1.bind	5	classified		PL	EU	high	regex	60	^ns\.de\.pl[0-9]+\.	DENIC country code in NSID
173811468	.fr	d.nic.fr	194.0.9.1	fr.	dns.ams.nic.fr	9	classified	Amsterdam	NL	EU	high	regex	70	^dns\.ams\.nic\.fr$	Explicit AFNIC city code
173811468	.fr	d.nic.fr	194.0.9.1	fr.	dns.fra.nic.fr	15	classified	Frankfurt	DE	EU	high	regex	70	^dns\.fra\.nic\.fr$	Explicit AFNIC city code
173811468	.fr	d.nic.fr	194.0.9.1	fr.	dns.lil.nic.fr	3	classified	Lille	FR	EU	high	regex	70	^dns\.lil\.nic\.fr$	Explicit AFNIC city code
173811468	.fr	d.nic.fr	194.0.9.1	fr.	dns.lon.nic.fr	2	classified	London	GB	UK	high	regex	70	^dns\.lon\.nic\.fr$	Explicit AFNIC city code
173811468	.fr	d.nic.fr	194.0.9.1	fr.	dns.mrs.nic.fr	2	classified	Marseille	FR	EU	high	regex	70	^dns\.mrs\.nic\.fr$	Explicit AFNIC city code
173811468	.fr	d.nic.fr	194.0.9.1	fr.	dns.nyc.nic.fr	21	classified	New York	US	Other non EU	high	regex	70	^dns\.nyc\.nic\.fr$	Explicit AFNIC city code
173811468	.fr	d.nic.fr	194.0.9.1	fr.	dns.prg.nic.fr	6	classified	Prague	CZ	EU	high	regex	70	^dns\.prg\.nic\.fr$	Explicit AFNIC city code
173811468	.fr	d.nic.fr	194.0.9.1	fr.	dns.th2.nic.fr	20	classified	Paris	FR	EU	medium	regex	70	^dns\.th2\.nic\.fr$	Telehouse Paris style facility code
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.amx	4	classified	Amsterdam	NL	EU	medium	regex	90	^s[23]\.amx$	Shared operator short location label
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.bah	2	classified	Manama	BH	Other non EU	high	regex	90	^s[23]\.bah$	City code in shared operator label
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.bnx	6	classified	Brussels	BE	EU	medium	regex	90	^s[23]\.bnx$	BNIX or Brussels style label
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.bts	2	classified	Bratislava	SK	EU	high	regex	90	^s[23]\.bts$	City code in shared operator label
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.cdg	1	classified	Paris	FR	EU	high	regex	90	^s[23]\.cdg$	City code in shared operator label
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.cmx	1	unknown			Unknown	unknown				No defensible NSID mapping rule matched
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.del	1	classified	Delhi	IN	Other non EU	high	regex	90	^s[23]\.del$	City code in shared operator label
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.dex	8	classified	Frankfurt	DE	EU	medium	regex	90	^s[23]\.dex$	DE CIX style label
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.fix	1	classified	Helsinki	FI	EU	medium	regex	90	^s[23]\.fix$	Finnish exchange style label
173811469	.fr	f.ext.nic.fr	194.146.106.46	fr.	s2.hel	1	classified	Helsinki	FI	EU	high	regex	90	^s[23]\.hel$	City code in shared operator label
